(13, 70, 94)
(13, 70, 95)
(13, 70, 96)
(13, 70, 97)
(13, 70, 98)
(13, 70, 99)
(13, 70, 100)
(13, 70, 101)
(13, 70, 102)
(13, 70, 103)
(13, 70, 104)
(13, 70, 105)
(13, 70, 106)
(13, 70, 108)
(13, 70, 109)
(13, 70, 110)
(13, 70, 111)
(13, 70, 113)
(13, 70, 115)
(13, 70, 116)
(13, 70, 117)
(13, 70, 118)
(13, 70, 119)
(13, 70, 120)
(13, 70, 124)
(13, 70, 125)
(13, 70, 127)
(13, 70, 128)
(13, 70, 129)
(13, 70, 130)
(13, 70, 131)
(13, 70, 133)
(13, 70, 134)
(13, 70, 135)
(13, 70, 136)
(13, 70, 137)
(13, 70, 139)
(13, 70, 141)
(13, 70, 144)
(13, 70, 146)
(13, 70, 147)
(13, 70, 148)
(13, 70, 149)
(13, 70, 150)
(13, 70, 151)
(13, 70, 152)
(13, 70, 153)
(13, 70, 154)
(13, 70, 155)
(13, 70, 156)
(13, 70, 157)
(13, 70, 158)
(13, 70, 159)
(13, 123, 152)
(14, 18, 85)
(14, 18, 158)
(14, 20, 26)
(14, 20, 56)
(14, 20, 88)
(14, 20, 108)
(14, 30, 32)
(14, 30, 37)
(14, 30, 67)
(14, 30, 69)
(14, 30, 80)
(14, 34, 56)
(14, 40, 152)
(14, 48, 56)
(14, 51, 55)
(14, 51, 68)
(14, 51, 108)
(14, 51, 141)
(14, 53, 85)
(14, 68, 70)
(14, 70, 85)
(14, 70, 131)
(14, 152, 155)
(15, 16, 20)
(15, 17, 20)
(15, 18, 20)
(15, 18, 158)
(15, 19, 20)
(15, 20, 21)
(15, 20, 22)
(15, 20, 24)
(15, 20, 25)
(15, 20, 26)
(15, 20, 28)
(15, 20, 29)
(15, 20, 32)
(15, 20, 33)
(15, 20, 34)
(15, 20, 35)
(15, 20, 36)
(15, 20, 38)
(15, 20, 39)
(15, 20, 40)
(15, 20, 41)
(15, 20, 42)
(15, 20, 43)
(15, 20, 44)
(15, 20, 46)
(15, 20, 47)
(15, 20, 48)
(15, 20, 49)
(15, 20, 50)
(15, 20, 52)
(15, 20, 53)
(15, 20, 54)
(15, 20, 55)
(15, 20, 56)
(15, 20, 57)
(15, 20, 58)
(15, 20, 59)
(15, 20, 60)
(15, 20, 61)
(15, 20, 62)
(15, 20, 63)
(15, 20, 64)
(15, 20, 65)
(15, 20, 66)
(15, 20, 67)
(15, 20, 68)
(15, 20, 70)
(15, 20, 71)
(15, 20, 72)
(15, 20, 73)
(15, 20, 74)
(15, 20, 75)
(15, 20, 76)
(15, 20, 78)
(15, 20, 79)
(15, 20, 80)
(15, 20, 82)
(15, 20, 83)
(15, 20, 84)
(15, 20, 85)
(15, 20, 86)
(15, 20, 87)
(15, 20, 88)
(15, 20, 89)
(15, 20, 90)
(15, 20, 91)
(15, 20, 92)
(15, 20, 93)
(15, 20, 94)
(15, 20, 97)
(15, 20, 98)
(15, 20, 100)
(15, 20, 102)
(15, 20, 103)
(15, 20, 105)
(15, 20, 106)
(15, 20, 107)
(15, 20, 108)
(15, 20, 110)
(15, 20, 111)
(15, 20, 112)
(15, 20, 113)
(15, 20, 114)
(15, 20, 115)
(15, 20, 117)
(15, 20, 119)
(15, 20, 120)
(15, 20, 121)
(15, 20, 122)
(15, 20, 123)
(15, 20, 125)
(15, 20, 126)
(15, 20, 127)
(15, 20, 128)
(15, 20, 129)
(15, 20, 131)
(15, 20, 132)
(15, 20, 133)
(15, 20, 134)
(15, 20, 135)
(15, 20, 136)
(15, 20, 137)
(15, 20, 138)
(15, 20, 139)
(15, 20, 140)
(15, 20, 141)
(15, 20, 142)
(15, 20, 143)
(15, 20, 144)
(15, 20, 147)
(15, 20, 148)
(15, 20, 150)
(15, 20, 151)
(15, 20, 152)
(15, 20, 153)
(15, 20, 155)
(15, 20, 156)
(15, 20, 157)
(15, 20, 158)
(15, 20, 159)
(15, 21, 32)
(15, 30, 67)
(15, 30, 69)
(15, 30, 80)
(15, 30, 155)
(15, 34, 56)
(15, 36, 75)
(15, 40, 152)
(15, 53, 70)
(15, 53, 85)
(15, 68, 70)
(15, 70, 85)
(15, 70, 108)
(15, 70, 131)
(15, 70, 141)
(15, 135, 138)
(15, 152, 155)
(16, 18, 158)
(16, 20, 26)
(16, 20, 101)
(16, 20, 130)
(16, 21, 32)
(16, 30, 37)
(16, 30, 80)
(16, 30, 104)
(16, 34, 56)
(16, 53, 68)
(16, 53, 85)
(16, 68, 70)
(16, 70, 85)
(16, 70, 131)
(17, 20, 26)
(17, 20, 130)
(17, 21, 32)
(17, 30, 37)
(17, 30, 80)
(17, 30, 95)
(17, 30, 104)
(17, 30, 155)
(17, 34, 56)
(17, 40, 152)
(17, 53, 85)
(17, 54, 75)
(17, 56, 75)
(17, 68, 70)
(17, 70, 85)
(17, 70, 131)
(17, 73, 75)
(17, 75, 108)
(17, 75, 120)
(17, 75, 127)
(17, 75, 150)
(18, 19, 33)
(18, 19, 61)
(18, 19, 112)
(18, 19, 126)
(18, 20, 26)
(18, 20, 130)
(18, 21, 115)
(18, 23, 87)
(18, 23, 158)
(18, 26, 87)
(18, 26, 158)
(18, 27, 80)
(18, 27, 87)
(18, 27, 158)
(18, 29, 87)
(18, 30, 87)
(18, 31, 158)
(18, 34, 56)
(18, 35, 158)
(18, 36, 75)
(18, 36, 87)
(18, 36, 158)
(18, 37, 87)
(18, 40, 53)
(18, 40, 152)
(18, 40, 158)
(18, 45, 158)
(18, 51, 87)
(18, 51, 158)
(18, 56, 73)
(18, 66, 85)
(18, 66, 87)
(18, 66, 158)
(18, 68, 70)
(18, 69, 158)
(18, 70, 85)
(18, 70, 131)
(18, 72, 140)
(18, 75, 147)
